Player Name,player_link,Position,Age,nation,matches,goals,assists,Points,Market Value,Market_Value_EUR
Tommaso Biasci,https://www.transfermarkt.com/tommaso-biasci/profil/spieler/240129,Second Striker,29,Italy,32,6,2,8,€750k,750000
Tyrone Tormin,https://www.transfermarkt.com/tyrone-tormin/profil/spieler/496601,Second Striker,23,"France, Guadeloupe",28,6,2,8,€150k,150000
Petr Pejsa,https://www.transfermarkt.com/petr-pejsa/profil/spieler/501042,Second Striker,26,Czech Republic,29,6,2,8,,
Rocco Vata,https://www.transfermarkt.com/rocco-vata/profil/spieler/741229,Second Striker,19,"Ireland, Albania",37,4,4,8,€1.80m,1800000
Thomas Müller,https://www.transfermarkt.com/thomas-muller/profil/spieler/58358,Second Striker,34,Germany,32,3,5,8,€6.00m,6000000
Jonathan Pitou,https://www.transfermarkt.com/jonathan-pitou/profil/spieler/800611,Second Striker,19,France,33,2,6,8,€225k,225000
Nikola Dovedan,https://www.transfermarkt.com/nikola-dovedan/profil/spieler/120189,Second Striker,29,Austria,39,1,7,8,€550k,550000
Oumar Traoré,https://www.transfermarkt.com/oumar-traore/profil/spieler/860231,Second Striker,24,Guinea,24,7,0,7,,
Dany Mota,https://www.transfermarkt.com/dany-mota/profil/spieler/347253,Second Striker,26,"Portugal, Luxembourg",33,5,2,7,€4.00m,4000000
Mohamed Berte,https://www.transfermarkt.com/mohamed-berte/profil/spieler/895402,Second Striker,22,"Belgium, Cote d'Ivoire",29,5,2,7,€1.20m,1200000
Matteo Della Morte,https://www.transfermarkt.com/matteo-della-morte/profil/spieler/391797,Second Striker,24,Italy,36,5,2,7,€400k,400000
Alberto Lunghi,https://www.transfermarkt.com/alberto-lunghi/profil/spieler/678212,Second Striker,21,Italy,30,5,2,7,€200k,200000
Álvaro Leiva,https://www.transfermarkt.com/alvaro-leiva/profil/spieler/875306,Second Striker,19,Spain,26,4,3,7,€150k,150000
Alessandro Seghetti,https://www.transfermarkt.com/alessandro-seghetti/profil/spieler/913461,Second Striker,20,Italy,21,3,4,7,€200k,200000
Carlo Maria Maione,https://www.transfermarkt.com/carlo-maria-maione/profil/spieler/410462,Second Striker,27,Italy,30,3,4,7,,
Lukas Masek,https://www.transfermarkt.com/lukas-masek/profil/spieler/671519,Second Striker,20,Czech Republic,14,5,1,6,€600k,600000
Gianluca Caprari,https://www.transfermarkt.com/gianluca-caprari/profil/spieler/146752,Second Striker,30,Italy,36,4,2,6,€1.00m,1000000
Riccardo Forte,https://www.transfermarkt.com/riccardo-forte/profil/spieler/392540,Second Striker,25,Italy,30,4,2,6,€200k,200000
